 Australia,Jordan Anthony,"""We Will Rise""",English,8,121
 France,Carla,"""Bim bam toi""",French[a],5,169
 Russia,Tatyana Mezhentseva and Denberel Oorzhak,"""A Time for Us""","Russian, English",13,72
 North Macedonia,Mila Moskov,"""Fire""","Macedonian, English",6,150
 Spain,Melani García,"""Marte""",Spanish,3,212
 Georgia,Giorgi Rostiashvili,"""We Need Love""","Georgian, English",14,69
 Belarus,Liza Misnikova,"""Pepelny (Ashen)"" (Пепельный)","Russian, English",11,92
 Malta,Eliana Gomez Blanco,"""We Are More""","Maltese, English",19,29
 Wales,Erin Mai,"""Calon yn Curo (Heart Beating)""",Welsh,18,35
 Kazakhstan,Yerzhan Maksim,"""Armanyńnan qalma"" (Арманыңнан қалма)","Kazakh, English",2,227
 Poland,Viki Gabor,"""Superhero""","Polish, English",1,278
 Ireland,Anna Kearney,"""Banshee""",Irish,12,73
 Ukraine,Sophia Ivanko,"""The Spirit of Music""","Ukrainian, English",15,59
 Netherlands,Matheu,"""Dans met jou""","Dutch, English",4,186
 Armenia,Karina Ignatyan,"""Colours of Your Dream""","Armenian, English",9,115
 Portugal,Joana Almeida,"""Vem comigo (Come with Me)""","Portuguese, English",16,43
 Italy,Marta Viola,"""La voce della terra""","Italian, English",7,129
 Albania,Isea Çili,"""Mikja ime fëmijëri""",Albanian,17,36
 Serbia,Darija Vračević,"""Podigni glas (Raise Your Voice)"" (Подигни глас)","Serbian, English",10,109
