iter	Logloss
0	0.6751893983
1	0.6580773994
2	0.6420129218
3	0.6272182131
4	0.6138411853
5	0.6012529818
6	0.5893674327
7	0.5779556818
8	0.5679441527
9	0.5581667743
10	0.5496055992
11	0.5416044225
12	0.5336513008
13	0.5266929495
14	0.5201614412
15	0.5141684372
16	0.5086011854
17	0.5034223001
18	0.4983370089
19	0.4936453143
20	0.4893507885
21	0.4853363112
22	0.481262188
23	0.4777068626
24	0.4742625522
25	0.4717303092
26	0.4687878726
27	0.4658586778
28	0.4631886847
29	0.4608588743
30	0.4588641173
31	0.45676474
32	0.4545808654
33	0.4526881282
34	0.4509556953
35	0.4496753633
36	0.4479814485
37	0.4464954116
38	0.4452659674
39	0.4437239939
40	0.4424466632
41	0.4412848364
42	0.4400977628
43	0.4389202817
44	0.4380336019
45	0.4370408092
46	0.4360237499
47	0.4352453363
48	0.4344607758
49	0.4335077298
50	0.4326927786
51	0.4319764354
52	0.4310752405
53	0.430408423
54	0.4297807126
55	0.4290821357
56	0.4285181831
57	0.4279265742
58	0.4273519006
59	0.4267987349
60	0.4263422195
61	0.4258913302
62	0.4254359051
63	0.4250173092
64	0.4245949605
65	0.4242567521
66	0.4237145277
67	0.4232987829
68	0.422877403
69	0.4224621176
70	0.4219764957
71	0.4216201907
72	0.4212063431
73	0.4208902335
74	0.4205966908
75	0.4203279359
76	0.4200250062
77	0.4196987813
78	0.4194120041
79	0.4191406122
80	0.4188638427
81	0.4186058893
82	0.4182151499
83	0.4179795908
84	0.4176427475
85	0.4174716725
86	0.4171697701
87	0.4168706826
88	0.4165678662
89	0.4163174365
90	0.4160224228
91	0.4157108099
92	0.4155716779
93	0.4153581439
94	0.4151283487
95	0.4147986274
96	0.4145700491
97	0.4143125884
98	0.4141122515
99	0.4139208264
100	0.4136717106
101	0.4134954319
102	0.4133685082
103	0.4131865974
104	0.4128915396
105	0.4126969863
106	0.4124751239
107	0.4122957285
108	0.4121309299
109	0.411986895
110	0.4117924768
111	0.411619958
112	0.4113447087
113	0.4111752295
114	0.4109379802
115	0.4107644753
116	0.4105833258
117	0.4104259076
118	0.4101953715
119	0.4100881892
120	0.4099432305
121	0.4098211173
122	0.4096145308
123	0.4094555402
124	0.409349596
125	0.4091566923
126	0.4090498568
127	0.4088538183
128	0.408581321
129	0.4084256804
130	0.4082948293
131	0.4081256928
132	0.4080125901
133	0.4078939869
134	0.4077795156
135	0.4075726376
136	0.4074565392
137	0.407332233
138	0.4072503752
139	0.407090695
140	0.4069487748
141	0.4068114074
142	0.4067422408
143	0.4066748096
144	0.4064704902
145	0.4063388583
146	0.4061346949
147	0.4059714728
148	0.4057124198
149	0.4055518911
150	0.4054239248
151	0.4052142318
152	0.4050298249
153	0.4049361437
154	0.4047035583
155	0.4045777821
156	0.4044292255
157	0.4043604122
158	0.404183192
159	0.4041030309
160	0.4040306239
161	0.4039578622
162	0.4038764215
163	0.4037914342
164	0.4035928916
165	0.4034645097
166	0.4033832965
167	0.4031478243
168	0.4029582441
169	0.402885233
170	0.4027674505
171	0.4026814039
172	0.4025843164
173	0.4024849326
174	0.4023900844
175	0.402346821
176	0.4022007149
177	0.4021491114
178	0.4020227604
179	0.4018760782
180	0.4016976864
181	0.4016246396
182	0.401467721
183	0.4013807778
184	0.4012552743
185	0.4011145384
186	0.4010057536
187	0.4008379689
188	0.4007384769
189	0.4006241159
190	0.400557661
191	0.400459649
192	0.400411155
193	0.4002694222
194	0.4001202085
195	0.4000148587
196	0.3999213342
197	0.3997574607
198	0.399674167
199	0.399591545
200	0.3994294153
201	0.3992795371
202	0.3991844453
203	0.3990835208
204	0.3990364814
205	0.3989639909
206	0.3988443034
207	0.3987469533
208	0.3986546853
209	0.3985872716
210	0.3984525734
211	0.3983626989
212	0.3981977236
213	0.3981359903
214	0.3980801079
215	0.3980138698
216	0.3978396268
217	0.3977897242
218	0.3977332263
219	0.3976511024
220	0.3974865007
221	0.3974062006
222	0.3973384742
223	0.3972378423
224	0.3971524119
225	0.3969832151
226	0.3969341014
227	0.3968957764
228	0.3967784997
229	0.3966606456
230	0.3965903846
231	0.3965160984
232	0.3964468944
233	0.3963795727
234	0.3962899043
235	0.3962010165
