iter	Passed	Remaining
0	21	21918
1	40	20268
2	61	20498
3	84	20958
4	111	22259
5	133	22108
6	150	21367
7	171	21279
8	201	22138
9	228	22581
10	253	22751
11	277	22826
12	296	22543
13	315	22246
14	341	22419
15	361	22244
16	380	21987
17	398	21764
18	423	21842
19	449	22003
20	472	22015
21	491	21857
22	514	21869
23	544	22145
24	569	22214
25	604	22627
26	632	22790
27	657	22810
28	677	22682
29	702	22698
30	722	22582
31	742	22458
32	761	22316
33	780	22172
34	800	22080
35	822	22036
36	842	21918
37	862	21835
38	880	21693
39	898	21571
40	916	21442
41	934	21312
42	951	21166
43	966	21009
44	985	20915
45	1002	20795
46	1019	20662
47	1034	20520
48	1050	20390
49	1065	20239
50	1084	20176
51	1103	20121
52	1120	20015
53	1136	19908
54	1153	19815
55	1169	19718
56	1188	19669
57	1207	19616
58	1226	19564
59	1243	19478
60	1261	19426
61	1279	19355
62	1295	19263
63	1311	19182
64	1329	19120
65	1346	19050
66	1365	19009
67	1380	18922
68	1397	18850
69	1412	18768
70	1431	18726
71	1449	18684
72	1464	18594
73	1483	18558
74	1498	18484
75	1515	18429
76	1531	18362
77	1548	18300
78	1565	18256
79	1584	18222
80	1604	18199
81	1622	18162
82	1639	18110
83	1656	18065
84	1672	18000
85	1687	17938
86	1710	17949
87	1725	17886
88	1741	17824
89	1763	17835
90	1780	17787
91	1797	17739
92	1813	17686
93	1829	17629
94	1847	17601
95	1865	17571
96	1884	17541
97	1901	17503
98	1917	17455
99	1935	17417
100	1951	17371
101	1967	17320
102	1985	17288
103	2008	17306
104	2033	17329
105	2057	17350
106	2084	17395
107	2110	17427
108	2134	17445
109	2158	17463
110	2182	17477
111	2204	17477
112	2229	17498
113	2257	17547
114	2281	17560
115	2306	17576
116	2330	17590
117	2348	17556
118	2365	17512
119	2382	17473
120	2402	17452
121	2425	17458
122	2448	17458
123	2464	17408
124	2481	17367
125	2499	17340
126	2520	17324
127	2536	17279
128	2552	17234
129	2577	17247
130	2592	17199
131	2610	17165
132	2629	17140
133	2646	17106
134	2663	17064
135	2679	17024
136	2697	16992
137	2714	16953
138	2730	16913
139	2750	16893
140	2766	16851
141	2781	16807
142	2797	16765
143	2814	16727
144	2829	16684
145	2847	16653
146	2864	16624
147	2881	16588
148	2903	16585
149	2920	16547
150	2937	16515
151	2953	16480
152	2968	16431
153	2982	16385
154	2997	16340
155	3013	16301
156	3029	16264
157	3044	16226
158	3062	16196
159	3078	16161
160	3097	16144
161	3114	16108
162	3129	16070
163	3145	16032
164	3160	15994
165	3176	15959
166	3196	15943
167	3212	15907
168	3228	15872
169	3246	15848
170	3263	15819
171	3278	15781
172	3293	15743
173	3309	15710
174	3325	15677
175	3342	15646
176	3357	15612
177	3373	15579
178	3388	15542
179	3408	15527
180	3435	15546
181	3452	15517
182	3466	15476
183	3482	15443
184	3496	15405
185	3511	15365
186	3526	15333
187	3542	15300
188	3560	15276
189	3577	15252
190	3595	15229
191	3611	15196
192	3627	15165
193	3642	15135
194	3658	15104
195	3674	15072
196	3690	15044
197	3712	15036
198	3731	15019
199	3748	14992
200	3764	14962
201	3781	14937
202	3797	14910
203	3815	14886
204	3831	14860
205	3846	14827
206	3861	14794
207	3878	14768
208	3894	14738
209	3909	14707
210	3924	14673
211	3942	14654
212	3958	14625
213	3981	14622
214	3996	14592
215	4012	14565
216	4031	14545
217	4048	14523
218	4065	14496
219	4081	14472
220	4100	14455
221	4116	14425
222	4132	14397
223	4148	14371
224	4163	14339
225	4181	14321
226	4197	14292
227	4212	14262
228	4229	14240
229	4252	14235
230	4274	14230
231	4293	14211
232	4307	14179
233	4323	14152
234	4338	14121
235	4356	14102
236	4381	14104
237	4402	14095
238	4421	14078
239	4442	14068
240	4462	14054
241	4479	14031
242	4498	14014
243	4514	13987
244	4531	13965
245	4555	13962
246	4573	13941
247	4589	13918
248	4611	13907
249	4627	13882
250	4643	13855
251	4659	13831
252	4677	13811
253	4693	13785
254	4708	13756
255	4726	13735
256	4742	13710
257	4758	13685
258	4774	13658
259	4788	13629
260	4803	13599
261	4818	13573
262	4834	13548
263	4850	13521
264	4864	13492
265	4879	13463
266	4893	13435
267	4908	13407
268	4923	13379
269	4937	13350
270	4952	13321
271	4966	13293
272	4988	13284
273	5006	13264
274	5028	13255
275	5043	13229
276	5061	13211
277	5082	13199
278	5101	13184
279	5119	13164
280	5135	13139
281	5150	13113
282	5166	13090
283	5183	13067
284	5198	13042
285	5217	13024
286	5234	13003
287	5249	12977
288	5264	12950
289	5279	12926
290	5294	12899
291	5308	12871
292	5323	12846
293	5338	12819
294	5353	12792
295	5368	12768
296	5392	12764
297	5412	12750
298	5428	12728
299	5443	12701
300	5462	12685
301	5479	12665
302	5499	12650
303	5518	12634
304	5535	12614
305	5552	12591
306	5573	12581
307	5593	12568
308	5614	12555
309	5629	12530
310	5645	12507
311	5662	12485
312	5677	12462
313	5693	12438
314	5711	12420
315	5727	12398
316	5745	12379
317	5766	12367
318	5782	12345
319	5800	12326
320	5822	12316
321	5843	12303
322	5865	12294
323	5887	12284
324	5907	12269
325	5924	12249
326	5942	12229
327	5962	12216
328	5985	12206
329	6006	12195
330	6031	12189
331	6051	12175
332	6073	12165
333	6095	12154
334	6130	12169
335	6163	12180
336	6193	12184
337	6223	12188
338	6245	12177
339	6266	12164
340	6285	12147
341	6304	12129
342	6332	12130
343	6356	12121
344	6385	12122
345	6416	12127
346	6443	12125
347	6476	12134
348	6514	12151
349	6547	12159
350	6580	12167
351	6609	12167
352	6639	12168
353	6668	12169
354	6695	12165
355	6727	12169
356	6755	12168
357	6782	12163
358	6808	12156
359	6836	12152
360	6865	12153
361	6901	12163
362	6932	12164
363	6963	12166
364	6996	12171
365	7029	12177
366	7059	12176
367	7089	12174
368	7123	12180
369	7158	12188
370	7188	12187
371	7216	12182
372	7242	12173
373	7272	12173
374	7310	12183
375	7337	12176
376	7366	12172
377	7399	12176
378	7419	12157
379	7443	12144
380	7464	12127
381	7487	12113
382	7505	12091
383	7522	12066
384	7536	12039
385	7552	12014
386	7577	12003
387	7607	11999
388	7633	11990
389	7659	11980
390	7687	11973
391	7710	11958
392	7730	11939
393	7753	11924
394	7778	11913
395	7809	11911
396	7839	11907
397	7865	11897
398	7893	11889
399	7922	11884
400	7949	11874
