iter	Passed	Remaining
0	3	3992
1	5	2967
2	7	2545
3	9	2336
4	11	2196
5	12	2138
6	15	2129
7	16	1991
8	18	2002
9	20	2016
10	22	2051
11	24	2045
12	27	2062
13	29	2063
14	31	2058
15	33	2040
16	35	2032
17	36	2017
18	38	2008
19	40	1999
20	42	1984
21	44	1972
22	46	1977
23	48	1975
24	50	1976
25	52	1973
26	54	1979
27	57	1981
28	58	1971
29	60	1965
30	62	1954
31	65	1969
32	67	1974
33	69	1968
34	71	1966
35	73	1978
36	76	1978
37	78	1993
38	81	2014
39	84	2022
40	86	2018
41	88	2016
42	89	2000
43	91	1990
44	93	1986
45	95	1987
46	97	1971
47	98	1955
48	100	1946
49	101	1933
50	103	1919
51	104	1901
52	105	1887
53	106	1874
54	108	1861
55	109	1849
56	111	1837
57	112	1826
58	114	1823
59	115	1811
60	116	1800
61	119	1803
62	120	1795
63	122	1793
64	124	1787
65	125	1780
66	127	1772
67	128	1763
68	129	1753
69	131	1744
70	132	1736
71	133	1722
72	134	1706
73	135	1700
74	136	1683
75	138	1679
76	139	1671
77	140	1663
78	142	1655
79	143	1648
80	145	1647
81	146	1641
82	147	1634
83	149	1628
84	150	1622
85	152	1616
86	153	1609
87	154	1603
88	155	1596
89	157	1590
90	158	1584
91	159	1578
92	160	1569
93	162	1564
94	163	1554
95	165	1555
96	167	1558
97	169	1556
98	170	1551
99	172	1552
100	174	1550
101	175	1545
102	176	1540
103	178	1536
104	179	1531
105	180	1524
106	182	1519
107	183	1515
108	184	1510
109	186	1506
110	187	1502
111	188	1498
112	190	1493
113	191	1489
114	193	1485
115	194	1481
116	196	1479
117	197	1475
118	198	1471
119	200	1467
120	201	1462
121	202	1458
122	203	1453
123	205	1450
124	206	1445
125	208	1443
126	209	1439
127	210	1436
128	212	1433
129	214	1434
130	216	1433
131	218	1436
132	220	1437
133	221	1433
134	223	1429
135	224	1426
136	225	1422
137	227	1419
138	228	1415
139	229	1412
140	231	1408
141	232	1404
142	233	1401
143	235	1398
144	236	1394
145	237	1391
146	239	1387
147	240	1384
148	241	1380
149	243	1377
150	244	1375
151	246	1375
152	247	1372
153	249	1372
154	251	1371
155	253	1370
156	254	1368
157	256	1367
158	258	1366
159	260	1365
160	261	1364
161	263	1365
162	265	1362
163	266	1359
164	268	1356
165	269	1353
166	270	1350
167	272	1348
168	273	1345
169	274	1342
170	276	1339
171	277	1335
172	278	1332
173	280	1329
174	281	1327
175	282	1324
176	284	1321
177	285	1318
178	286	1315
179	288	1314
180	289	1311
181	291	1308
182	292	1306
183	294	1303
184	295	1301
185	296	1298
186	297	1295
187	299	1292
188	300	1289
189	301	1286
190	303	1284
191	304	1281
192	305	1279
193	307	1276
194	308	1274
195	311	1275
196	314	1279
197	316	1280
198	317	1278
199	319	1276
200	320	1273
201	321	1271
202	323	1268
203	324	1266
204	325	1263
205	327	1261
206	328	1259
207	329	1256
208	331	1253
209	333	1252
210	334	1252
211	336	1250
212	337	1248
213	339	1245
214	340	1243
215	341	1241
216	343	1238
217	344	1236
218	346	1233
219	347	1231
220	348	1228
221	349	1225
222	351	1223
223	352	1220
224	353	1218
225	355	1216
226	356	1214
227	358	1214
228	359	1211
229	361	1209
230	362	1207
231	364	1205
232	365	1203
233	366	1200
234	368	1198
235	369	1196
236	371	1194
237	372	1192
238	373	1189
239	375	1187
240	376	1185
241	377	1183
242	379	1180
243	380	1178
244	381	1176
245	383	1174
246	384	1172
247	385	1169
248	387	1167
249	388	1166
250	390	1164
251	391	1162
252	392	1159
253	394	1157
254	395	1155
255	396	1153
256	398	1150
257	399	1148
258	400	1146
259	402	1144
260	403	1142
261	404	1140
262	406	1139
263	407	1137
264	409	1134
265	410	1132
266	412	1131
267	413	1129
268	414	1126
269	416	1125
270	418	1125
271	419	1122
272	420	1119
273	421	1117
274	423	1115
275	424	1113
276	425	1109
277	426	1107
278	428	1106
279	429	1103
280	430	1101
281	431	1099
282	433	1097
283	434	1095
284	435	1093
285	437	1091
286	438	1089
287	439	1086
288	440	1083
289	441	1081
290	443	1079
291	444	1077
292	445	1075
293	447	1074
294	448	1072
295	449	1070
296	450	1066
297	451	1064
298	453	1064
299	455	1062
300	456	1060
301	458	1058
302	459	1057
303	460	1055
304	462	1053
305	463	1051
306	465	1049
307	466	1047
308	466	1043
309	468	1042
310	469	1040
311	470	1038
312	472	1036
313	473	1034
314	474	1031
315	475	1029
316	476	1027
317	478	1025
318	479	1023
319	480	1022
320	482	1020
321	484	1019
322	485	1017
323	486	1015
324	488	1013
325	488	1010
326	490	1008
327	491	1007
328	492	1005
329	494	1003
330	495	1001
331	496	998
332	497	996
333	498	994
334	500	994
335	502	993
336	504	991
337	505	990
338	507	989
339	508	987
340	509	985
341	511	983
342	512	981
343	513	979
344	515	977
345	516	976
346	517	974
347	519	972
348	520	970
349	521	967
350	522	966
351	523	964
352	525	962
353	526	960
354	527	958
355	529	957
356	530	955
357	531	953
358	533	951
359	534	949
360	535	948
361	537	946
