Folio,Mes,NumeroTienda,Zona,ImporteVenta,Pago,Edad
1,AGOSTO,2,Centro,515.75,Aplazado,57
2,ENERO,5,Sur,549.47,Contado,29
3,AGOSTO,4,Centro,544.78,Contado,41
4,MARZO,6,Sur,522.36,Aplazado,63
5,DICIEMBRE,2,Centro,532.33,Contado,44
6,FEBRERO,2,Centro,524.87,Contado,34
7,ABRIL,7,Norte,528.42,Contado,50
8,MARZO,5,Sur,533.77,Contado,45
9,ENERO,3,Centro,550.85,Contado,21
10,SEPTIEMBRE,7,Norte,548.91,Aplazado,43
11,JUNIO,4,Centro,520.51,Aplazado,53
12,AGOSTO,7,Norte,522.66,Contado,35
13,ENERO,8,Norte,536.03,Contado,43
14,JULIO,5,Sur,542.67,Contado,44
15,NOVIEMBRE,5,Sur,530.22,Aplazado,30
16,NOVIEMBRE,5,Sur,528.86,Aplazado,38
17,JULIO,9,Norte,521.77,Aplazado,34
18,JUNIO,6,Sur,511.14,Contado,27
19,SEPTIEMBRE,3,Centro,550.45,Contado,37
20,ABRIL,3,Centro,515.8,Contado,30
21,DICIEMBRE,4,Centro,545.32,Aplazado,22
22,DICIEMBRE,3,Centro,542.95,Contado,47
23,DICIEMBRE,3,Centro,549.43,Contado,22
24,JUNIO,1,Centro,541.5,Contado,22
25,OCTUBRE,3,Centro,541.42,Contado,25
26,DICIEMBRE,6,Sur,515.87,Contado,42
27,AGOSTO,8,Norte,535.61,Aplazado,33
28,DICIEMBRE,4,Centro,506.85,Contado,39
29,ABRIL,2,Centro,501.52,Contado,43
30,SEPTIEMBRE,5,Sur,550.65,Contado,38
31,JULIO,1,Centro,523.47,Aplazado,55
32,MARZO,5,Sur,555.85,Contado,23
33,MAYO,2,Centro,514.68,Aplazado,31
34,FEBRERO,3,Centro,542.41,Aplazado,42
35,ABRIL,5,Sur,545.12,Aplazado,38
36,OCTUBRE,6,Sur,515.66,Contado,46
37,JUNIO,6,Sur,515.03,Contado,40
38,JULIO,4,Centro,521.4,Contado,44
39,OCTUBRE,8,Norte,510.58,Contado,26
40,ENERO,9,Norte,513.78,Contado,39
41,OCTUBRE,4,Centro,513.98,Contado,40
42,DICIEMBRE,9,Norte,530.76,Contado,42
43,DICIEMBRE,6,Sur,514.91,Aplazado,54
44,FEBRERO,7,Norte,506.89,Contado,49
45,OCTUBRE,9,Norte,519.61,Contado,26
46,MAYO,7,Norte,547.94,Contado,21
47,AGOSTO,9,Norte,509.51,Aplazado,63
48,ABRIL,6,Sur,500.59,Contado,44
49,MARZO,3,Centro,531.14,Aplazado,56
50,ENERO,1,Centro,514.39,Contado,26
51,JULIO,2,Centro,501.12,Contado,28
52,SEPTIEMBRE,8,Norte,523.21,Contado,21
53,DICIEMBRE,6,Sur,532.26,Contado,40
54,MAYO,7,Norte,501.16,Contado,23
55,NOVIEMBRE,3,Centro,503.46,Contado,41
56,FEBRERO,5,Sur,543.21,Aplazado,39
57,OCTUBRE,7,Norte,524.39,Contado,46
58,JUNIO,5,Sur,519.91,Aplazado,54
59,MARZO,7,Norte,502.29,Aplazado,44
60,DICIEMBRE,3,Centro,510.14,Aplazado,26
61,FEBRERO,9,Norte,501.23,Contado,29
62,AGOSTO,6,Sur,505.54,Aplazado,25
63,ABRIL,2,Centro,528.94,Contado,28
64,ENERO,6,Sur,523.07,Contado,41
65,FEBRERO,2,Centro,518.43,Aplazado,46
66,SEPTIEMBRE,7,Norte,542.53,Aplazado,40
67,JULIO,9,Norte,515.09,Contado,45
68,OCTUBRE,7,Norte,500.91,Aplazado,42
69,MARZO,5,Sur,534.25,Contado,34
70,MAYO,6,Sur,529.1,Contado,38
71,JULIO,3,Centro,500.68,Contado,46
72,AGOSTO,9,Norte,539.28,Aplazado,65
73,JUNIO,8,Norte,506.56,Contado,32
74,ENERO,7,Norte,541.87,Contado,36
75,DICIEMBRE,5,Sur,519.58,Contado,35
76,FEBRERO,5,Sur,540.21,Contado,30
77,MAYO,4,Centro,522.38,Contado,29
78,JULIO,8,Norte,503.11,Contado,33
79,DICIEMBRE,8,Norte,534.56,Contado,53
80,SEPTIEMBRE,6,Sur,539.19,Contado,25
81,SEPTIEMBRE,5,Sur,531.84,Contado,50
82,JUNIO,6,Sur,511.14,Contado,30
83,MARZO,3,Centro,544.81,Aplazado,58
84,MARZO,3,Centro,548.31,Aplazado,45
85,MARZO,2,Centro,524.59,Contado,50
86,MAYO,1,Centro,543.46,Contado,39
87,MAYO,1,Centro,516.53,Contado,48
88,DICIEMBRE,9,Norte,545,Contado,25
89,AGOSTO,5,Sur,547.61,Aplazado,50
90,DICIEMBRE,1,Centro,504.29,Contado,45
91,MARZO,1,Centro,522.55,Contado,42
92,SEPTIEMBRE,1,Centro,509.12,Aplazado,38
93,JUNIO,8,Norte,549.83,Aplazado,28
94,JUNIO,8,Norte,514.68,Aplazado,45
95,ENERO,5,Sur,550.73,Contado,28
96,MAYO,7,Norte,504.8,Aplazado,65
97,MAYO,7,Norte,529.13,Contado,47
98,SEPTIEMBRE,9,Norte,531.78,Contado,42
99,OCTUBRE,6,Sur,508.55,Contado,32
100,JUNIO,9,Norte,509.45,Contado,23
101,SEPTIEMBRE,3,Centro,507.84,Contado,34
102,ABRIL,6,Sur,522.03,Contado,37
