Draw,Country,Artist,Song,Language,Place,Points
1, Cyprus,Nicole Nicolaou,I Wanna Be a Star,"Greek, English",16,45
2, Poland,Alicja Rega,Mój Dom,Polish,8,138
3, Netherlands,FOURCE,Love Me,"Dutch, English",4,156
4, Armenia,Misha,Boomerang,"Armenian, English",6,148
5, Belarus,Helena Meraai,I Am the One,Russian,5,149
6, Portugal,Mariana Venâncio,Youtuber,Portuguese,14,54
7, Ireland,Muireann McDonnell,Súile Glasa,Irish,15,54
8, Macedonia,Mina Blažev,Dancing Through Life,"Macedonian, English",12,69
9, Georgia,Grigol Kipshidze,Voice of the Heart,Georgian,2,185
10, Albania,Ana Kodra,Don't Touch My Tree,"Albanian, English",13,67
11, Ukraine,Anastasiya Baginska,Don't Stop,"Ukrainian, English",7,147
12, Malta,Gianluca Cilia,Dawra Tond,"English, Maltese",9,107
13, Russia,Polina Bogusevich,Wings,"Russian, English",1,188
14, Serbia,Irina Brodić & Jana Paunović,Ceo svet je naš,Serbian,10,92
15, Australia,Isabella Clarke,Speak Up,English,3,172
16, Italy,Maria Iside Fiore,Scelgo ,"Italian, English",11,86
