Draw,Country,Artist,Song,Language(s),Place,Points
1, Ukraine,Darina Krasnovetska,Say Love,"Ukrainian, English",4,182
2, Portugal,Rita Laranjeira,Gosto de Tudo (Já Não Gosto de Nada),Portuguese,18,42
3, Kazakhstan,Daneliya Tuleshova,Ózińe sen eurovision,"Kazakh, English",6,171
4, Albania,Efi Gjika,Barbie,"Albanian, English",17,44
5, Russia,Anna Filipchuk,Unbreakable,"Russian, English",10,122
6, Netherlands,Max & Anne,Samen,"Dutch, English",13,91
7, Azerbaijan,Fidan Huseynova,I Wanna Be Like You,"Azerbaijani, English",16,47
8, Belarus,Daniel Yastremski,Time,"Russian, English",11,114
9, Ireland,Taylor Hynes,IOU,Irish,15,48
10, Serbia,Bojana Radovanović,Svet eurovision,Serbian,19,30
11, Italy,Melissa & Marco,What Is Love,"Italian, English",7,151
12, Australia,Jael,Champion,English,3,201
13, Georgia,Tamar Edilashvili,Your Voice,"Georgian, English",8,144
14, Israel,Noam Dadon,Children Like These,Hebrew,14,81
15, France,Angélina,Jamais sans toi,"French, English",2,203
16, Macedonia,Marija Spasovska,Doma eurovision,Macedonian,12,99
17, Armenia,L.E.V.O.N,L.E.V.O.N,Armenian,9,125
18, Wales,Manw,Perta,Welsh,20,29
19, Malta,Ela,Marchin eurovision,English,5,181
20, Poland,Roksana Węgiel,Anyone I Want to Be,"Polish, English",1,215
