Draw,Country,Artist,Song,Language(s)
1, Belarus,Арина Пехтерева,Пришельцы,"Russian, English"
2, France,Valentina,Jimagine,French
4, Germany,Susan,Stronger with You,"German, English"
5, Kazakhstan,Karakat Bashanova,Forever,"Kazakh, English"
6, Malta,Chanel Monseigneur,Chasing Sunsets,English
7, Netherlands,Unity,Best Friends,"Dutch, English"
8, Poland,Ala Tracz,Ill Be Standing,"Polish, English"
9, Russia,София Феськова,Мой новый день,"Russian, English"
10, Serbia,Petar Aničić,Heartbeat,"Serbian, English"
11, Spain,Soleá,Palante,Spanish
12, Ukraine,Oleksandr Balabanov,Vidkryvai,"Ukrainian, English"
