iter	Logloss
0	0.6925612751
1	0.6919787654
2	0.6913996307
3	0.69082385
4	0.6902514028
5	0.6896822685
6	0.6891164266
7	0.6885544842
8	0.6879959183
9	0.6874393872
10	0.6868860715
11	0.6864361249
112	0.6664938329
13	0.6635391958114	0.6615863033115	0.6601919741116	0.6582045602117	0.6567665222118	0.6548088339119	0.6529861002220	0.6505941322221	0.6485958594222	0.6472141091223	0.6460396903224	0.6446361258225	0.6424723358226	0.639594824
27	0.6378562857
28	0.6365650758
29	0.6340455727
30	0.632512041
31	0.63067649
3232	0.6164015233333	0.6147823543434	0.6132118793535	0.6113807673636	0.6095704193737	0.6073358393838	0.605753914339	0.6033562098440	0.6013945824141	0.59974873142	0.6120162899
43	0.6107072166
44	0.6094300017
45	0.6075527211
46	0.6057463469
47	0.6045419471
48	0.6028756809
49	0.6017823961
50	0.6005950898
51	0.598907329
52	0.5975688868
53	0.5965155015
54	0.595346447
55	0.5939758571
56	0.5928915135
57	0.5915113679
9
58	0.5703032962
59	0.5682801185
60	0.5670209548
61	0.5657756236
62	0.5640181814
63	0.5622342822
64	0.5599933185
65	0.5572202777
66	0.5560095928
67	0.5541061389
68	0.5522788266
69	0.5508193
70	0.5496437403
71	0.5482038341
72	0.5474308454
73	0.5458867287
74	0.5441358891
75	0.5430440061
76	0.541945606
77	0.5405171511
78	0.5392572769
79	0.5375488599
80	0.5358538219
81	0.5342367141
82	0.5324356687
83	0.5315594883
84	0.5303110517
85	0.5294530294
86	0.5283102409
87	0.5271791323
88	0.5256183996
89	0.5247530941
90	0.5240936421
91	0.5229434685
92	0.5218518458
93	0.5205325946
94	0.519225558
95	0.5184236554
96	0.5174837764
97	0.5170146496
98	0.5163814942
99	0.5157621135
100	0.5150878636
101	0.513934019
102	0.5124517885
103	0.5115004556
104	0.5100226312
105	0.5088060828
106	0.5078136861
107	0.506718602
108	0.5057655551
109	0.5041220114
110	0.5028646001
111	0.5020532424
112	0.5012461331
113	0.5004708065
114	0.4989498552
115	0.4972556455
116	0.4962496198
117	0.4956991654
118	0.4948889834
119	0.4944586374
120	0.4936383865
121	0.4925825188
122	0.4914499833
123	0.4902941437
124	0.4896766672
125	0.4884228036
126	0.4878757818
127	0.487037637
128	0.4860226884
129	0.4844439113
130	0.4836649447
131	0.4827615515
132	0.481642377
133	0.4805717774
134	0.4794034538
135	0.4782364041
6	0.6815992386
137	0.681519773
138	0.6814386234
139	0.6813575378
140	0.6812693428
141	0.681181232
142	0.6810932054
143	0.6810052628
144	0.6809243844
145	0.6808453396
146	0.6807645615
147	0.6806841841
148	0.680596522
149	0.6805162806
150	0.6804356739
151	0.6803481963
152	0.6802608023
153	0.6801803303
154	0.6800999217
155	0.6800195767
156	0.6799392951
157	0.6798590769
158	0.679778922
159	0.6796988304
160	0.6796188019
161	0.6795317746
162	0.6794518446
163	0.6793649356
164	0.6792854946
165	0.6792057258
166	0.6791260199
167	0.6790467707
168	0.6789673669
169	0.6788878221
170	0.6788083401
171	0.6787290771
172	0.6786496932
173	0.678570372
174	0.6784839592
175	0.6784047355
176	0.6783255744
177	0.6782465868
178178	0.67450822179179	0.6744075321
