iter	Passed	Remaining
0	6	120
1	11	102
2	18	104
3	27	109
4	33	101
5	42	98
6	52	97
7	58	88
8	65	80
9	70	70
10	76	62
11	82	54
12	88	47
13	94	40
14	100	33
15	107	26
16	113	20
17	118	113	588	10757
14	616	10487
15	651	10335
16	683	10168
17	708	9914
18	733	9695
19	767	9587
20	791	9386
21	813	9169
22	835	8967
23	855	8772
24	878	8605
25	897	8426
26	917	8258
27	938	8114
28	959	7970
29	980	7845
30	1001	7717
31	1023	7612
332	1064	7646333	1083	7523334	1102	7400335	1120	7280336	1141	7187337	1163	7100338	1180	6993339	1211	6966440	1230	6871441	1247	677242	1242	6557
43	1258	6462
44	1274	6371
45	1289	6278
46	1304	6188
47	1317	6095
48	1329	5994
49	1341	5902
50	1353	5810
51	1365	5723
52	1376	5637
53	1388	5552
54	1398	5465
55	1409	5385
56	1419	5305
57	1431	5232

58	1460	5223
59	1470	5145
60	1479	5067
61	1487	4990
62	1491	4900
63	1495	4812
64	1499	4730
65	1504	4649
66	1508	4570
67	1512	4491
68	1517	4420
69	1521	4346
70	1525	4275
71	1529	4206
72	1535	4142
73	1539	4076
74	1543	4014
75	1549	3954
76	1553	3894
77	1559	3839
78	1563	3780
79	1567	3723
80	1571	3667
81	1576	3615
82	1581	3562
83	1585	3511
84	1591	3463
85	1595	3413
86	1599	3364
87	1603	3316
88	1607	3268
89	1611	3223
90	1615	3177
91	1618	3131
92	1622	3088
93	1626	3045
94	1630	3003
95	1634	2963
96	1639	2923
97	1646	2889
98	1651	2852
99	1657	2817
100	1662	2781
101	1668	2747
102	1673	2713
103	1677	2677
104	1681	2642
105	1686	2609
106	1691	2577
107	1696	2544
108	1700	2512
109	1705	2480
110	1711	2450
111	1715	2419
112	1719	2389
113	1724	2359
114	1728	2329
115	1732	2299
116	1736	2271
117	1742	2244
118	1748	2218
119	1754	2192
120	1758	2165
121	1761	2137
122	1765	2110
123	1769	2083
124	1773	2057
125	1777	2030
126	1780	2004
127	1784	1979
128	1788	1954
129	1791	1929
130	1795	1905
131	1799	1881
132	1803	1857
133	1807	1834
134	1810	1810
1235	2771147	1238	2671148	1241	2581149	1245	2491150	1249	2391151	1252	2301152	1255	2211153	1260	2121154	1263	2031155	1265	1941156	1269	1851157	1273	1771158	1277	1681159	1281	1601160	1284	1511161	1287	1431162	1291	1341163	1295	1261164	1299	1181165	1305	1101166	1308	1011167	1312	931168	1316	851169	1319	771170	1323	691171	1326	611172	1329	531173	1332	451174	1335	381175	1339	301176	1341	221177	1344	15178	1359	7
179	1362	0

