Draw,Country,Artist,Song,Language,Place,Points
1, Greece,Secret Band,O palios mou eaftos ,Greek,9,48
2, Malta,Young Talent Team,Power of a Song,English,12,14
3, Netherlands,Klaartje & Nicky,Hij is een kei,Dutch,11,27
4,  Switzerland,Demis Mirarchi,Birichino,Italian,16,4
5, Norway,@lek,En stjerne skal jeg bli,Norwegian,13,12
6, France,Thomas Pontier,Si on voulait bien,French,6,78
7, Macedonia,Martina Siljanovska,Zabava ,Macedonian,7,64
8, Poland,KWADro,Łap życie,Polish,17,3
9,Cyprus Cyprus,Marios Tofi,Onira ,Greek,8,61
10,Belarus Belarus,Egor Volchek,Spiavajcie so mnoj,Belarusian,14,9
11, Croatia,Nika Turković,Hej mali,Croatian,3,126
12, Latvia,Mārtiņš Tālbergs and C-Stones Juniors,Balts vai melns,Latvian,17,3
13, United Kingdom,Cory Spedding,The Best Is Yet to Come,English,2,140
14, Denmark,Cool Kids,Pigen er min,Danish,5,116
15, Spain,María Isabel,Antes muerta que sencilla,Spanish,1,171
16, Sweden,Limelights,Varför jag?,Swedish,15,8
17, Belgium,Free Spirits,Accroche-toi,French,10,37
18, Romania,Noni Răzvan Ene,Îți mulțumesc,Romanian,4,123
