duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
164.78517,0,-3.892,0,173.703,0.03,0.0,164.78517,0.487,0.308,4,1.0,2008,3,0.453,0.888,0.0634,0.0983,0.0,0.411,0.812,164785,100.0, Malta
181.99773,7,-9.342,0,95.001,0.23,0.0,178.39311,0.873,0.876,4,0.941,2020,35,0.565,0.563,0.0296,0.131,1.74e-06,0.253,0.114,181998,, Belarus
179.98036,0,-3.938,1,113.932,0.26,0.0,173.35439,0.636,0.742,4,1.0,2020,38,0.758,0.647,0.0419,0.433,0.0,0.172,0.597,179980,, France
182.60023,2,-7.322,1,113.981,0.17,0.24989,176.25687,0.687,0.619,4,0.783,2020,28,0.667,0.405,0.0292,0.547,0.0,0.192,0.329,182600,, Germany
173.1683,6,-6.834,1,101.021,0.35,0.15116,168.11247,0.768,0.742,4,1.0,2020,46,0.611,0.623,0.0367,0.0569,4.52e-05,0.093,0.428,173168,, Netherlands
177.33333,8,-6.671,1,180.02,0.14,0.0,169.28508,0.311,0.507,4,1.0,2020,26,0.258,0.499,0.0377,0.455,0.0,0.0773,0.428,177333,, Russia
167.98611,6,-6.184,0,100.04,0.3,2.61805,162.60934,0.379,0.062,4,1.0,2020,42,0.744,0.574,0.167,0.0555,0.0,0.0817,0.353,167986,, Spain
157.90765,11,-7.37,0,153.369,0.19,0.53991,152.74086,0.655,0.696,4,0.973,2020,31,0.359,0.497,0.0439,0.436,0.0,0.0787,0.328,157908,, Ukraine
180.93202,10,-3.59,1,117.904,0.26,0.0,178.31764,0.49,0.567,4,0.804,2019,24,0.561,0.778,0.0377,0.218,0.0,0.158,0.315,180932,121.0, Australia
175.67088,1,-4.705,1,123.052,0.5,0.36844,167.85706,0.632,0.655,4,1.0,2019,57,0.828,0.732,0.0581,0.167,6.66e-06,0.0324,0.467,175671,169.0, France
180.37302,6,-7.396,1,173.87,0.07,2.48454,175.49062,0.606,0.683,4,1.0,2019,17,0.468,0.553,0.0292,0.0852,0.0,0.0709,0.246,180373,72.0, Russia
180.79214,5,-6.682,0,98.034,0.18,0.24458,173.47047,0.596,0.353,4,1.0,2019,30,0.557,0.711,0.0302,0.237,2.76e-05,0.207,0.353,180792,150.0, North Macedonia
180.66685,5,-8.357,1,165.956,0.29,0.0,176.34395,0.525,0.741,4,0.802,2019,39,0.466,0.49,0.0448,0.234,0.000246,0.0935,0.312,180667,212.0, Spain
175.68898,5,-4.849,0,91.901,0.07,0.0,171.92055,0.334,0.282,4,1.0,2019,17,0.547,0.795,0.0446,0.026,3.15e-05,0.114,0.369,175689,69.0, Georgia
