duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
242.77333,8,-6.863,1,81.975,0.69,0.0,230.35938,0.224,0.192,4,1.0,2003,68,0.618,0.552,0.0981,0.176,0.0,0.252,0.586,242773,59.0, Armenia
219.96263,7,-6.869,1,129.991,0.0,0.0,207.69089,0.755,0.954,4,1.0,2017,0,0.771,0.87,0.0456,0.000592,0.827,0.162,0.175,219963,45.0, Belgium
164.78517,0,-3.892,0,173.703,0.03,0.0,164.78517,0.487,0.308,4,1.0,2008,3,0.453,0.888,0.0634,0.0983,0.0,0.411,0.812,164785,100.0, Malta
195.61333,4,-6.824,1,98.162,0.52,0.15673,190.0263,0.541,0.379,5,0.182,2019,51,0.572,0.387,0.0269,0.561,0.0,0.114,0.193,195613,27.0, Netherlands
180.97633,0,-4.275,1,131.059,0.0,0.39533,174.81143,0.529,0.523,4,1.0,2016,2,0.575,0.871,0.074,0.0691,0.0,0.477,0.455,180976,135.0, Ukraine
222.24,0,-5.605,0,106.888,0.37,0.06952,210.01288,0.24,0.076,4,0.995,2017,46,0.532,0.65,0.0359,0.0374,0.0,0.0923,0.189,222240,93.0, Macedonia
181.99773,7,-9.342,0,95.001,0.23,0.0,178.39311,0.873,0.876,4,0.941,2020,35,0.565,0.563,0.0296,0.131,1.74e-06,0.253,0.114,181998,, Belarus
179.98036,0,-3.938,1,113.932,0.26,0.0,173.35439,0.636,0.742,4,1.0,2020,38,0.758,0.647,0.0419,0.433,0.0,0.172,0.597,179980,, France
182.60023,2,-7.322,1,113.981,0.17,0.24989,176.25687,0.687,0.619,4,0.783,2020,29,0.667,0.405,0.0292,0.547,0.0,0.192,0.329,182600,, Germany
173.1683,6,-6.834,1,101.021,0.35,0.15116,168.11247,0.768,0.742,4,1.0,2020,47,0.611,0.623,0.0367,0.0569,4.52e-05,0.093,0.428,173168,, Netherlands
180.54675,0,-2.799,1,122.028,0.31,0.0,173.8594,0.49,0.546,4,0.899,2020,43,0.523,0.851,0.0373,0.0148,1.38e-06,0.292,0.181,180547,, Poland
177.33333,8,-6.671,1,180.02,0.15,0.0,169.28508,0.311,0.507,4,1.0,2020,26,0.258,0.499,0.0377,0.455,0.0,0.0773,0.428,177333,, Russia
167.98611,6,-6.184,0,100.04,0.3,2.61805,162.60934,0.379,0.062,4,1.0,2020,42,0.744,0.574,0.167,0.0555,0.0,0.0817,0.353,167986,, Spain
157.90765,11,-7.37,0,153.369,0.19,0.53991,152.74086,0.655,0.696,4,0.973,2020,31,0.359,0.497,0.0439,0.436,0.0,0.0787,0.328,157908,, Ukraine
209.96645,5,-4.551,1,90.388,0.46,0.15891,204.63165,0.537,0.581,4,0.961,2019,47,0.424,0.574,0.0395,0.57,0.0,0.108,0.367,209966,68.0, Sweden
93.32,9,-17.321,1,73.618,0.13,0.1912,88.04426,0.317,0.32,4,0.65,2008,25,0.619,0.131,0.107,0.703,1.71e-05,0.27,0.477,93320,68.0, Georgia
202.5,7,-6.82,0,127.938,0.15,2.05497,195.75583,0.378,0.253,4,0.941,2020,10,0.619,0.675,0.0321,0.29,1.24e-05,0.144,0.15,202500,121.0, Netherlands
188.53333,4,-6.287,1,176.134,0.0,2.64707,178.86913,0.384,0.349,4,1.0,2010,0,0.465,0.672,0.124,0.38,0.0,0.12,0.512,188533,31.0, Macedonia
180.93202,10,-3.59,1,117.904,0.26,0.0,178.31764,0.49,0.567,4,0.804,2019,24,0.561,0.778,0.0377,0.218,0.0,0.158,0.315,180932,121.0, Australia
175.67088,1,-4.705,1,123.052,0.5,0.36844,167.85706,0.632,0.655,4,1.0,2019,57,0.828,0.732,0.0581,0.167,6.66e-06,0.0324,0.467,175671,169.0, France
180.37302,6,-7.396,1,173.87,0.07,2.48454,175.49062,0.606,0.683,4,1.0,2019,17,0.468,0.553,0.0292,0.0852,0.0,0.0709,0.246,180373,72.0, Russia
180.79214,5,-6.682,0,98.034,0.18,0.24458,173.47047,0.596,0.353,4,1.0,2019,30,0.557,0.711,0.0302,0.237,2.76e-05,0.207,0.353,180792,150.0, North Macedonia
168.56122,8,-5.618,1,104.983,0.47,0.46363,164.40308,0.543,0.738,4,1.0,2020,40,0.799,0.818,0.121,0.00205,0.000275,0.255,0.86,168561,212.0, Spain
175.68898,5,-4.849,0,91.901,0.07,0.0,171.92055,0.334,0.282,4,1.0,2019,17,0.547,0.795,0.0446,0.026,3.15e-05,0.114,0.369,175689,69.0, Georgia
181.13882,9,-5.617,0,111.983,0.19,0.0,177.23212,0.5,0.497,4,0.969,2019,30,0.807,0.707,0.0453,0.0105,4.52e-06,0.0978,0.577,181139,92.0, Belarus
183.08253,1,-8.13,0,91.984,0.11,0.0,176.22784,0.669,0.718,4,0.983,2019,22,0.534,0.467,0.0474,0.0198,0.000154,0.115,0.188,183083,29.0, Malta
184.2766,4,-9.297,1,115.078,0.05,3.36689,175.98404,0.46,0.505,4,1.0,2019,14,0.762,0.377,0.0346,0.477,5.31e-06,0.183,0.593,184277,35.0, Wales
176.72726,8,-3.377,0,110.017,0.56,0.51569,169.25604,0.398,0.578,4,1.0,2019,50,0.76,0.757,0.0404,0.0164,1.21e-05,0.41,0.541,176727,278.0, Poland
181.24998,5,-6.165,1,95.079,0.16,0.13918,178.1435,0.458,0.578,4,0.91,2019,25,0.218,0.462,0.0261,0.333,0.0,0.454,0.178,181250,73.0, Ireland
162.68806,7,-6.921,0,99.948,0.11,3.61651,158.38911,0.629,0.556,4,1.0,2019,22,0.671,0.563,0.0333,0.801,0.000126,0.123,0.361,162688,59.0, Ukraine
177.17973,2,-5.488,1,117.93,0.39,0.69057,170.77696,0.525,0.322,4,0.985,2019,42,0.756,0.871,0.0428,0.143,0.0,0.337,0.822,177180,186.0, Netherlands
182.32726,1,-5.095,0,99.984,0.17,3.22757,176.33234,0.59,0.504,4,0.997,2019,28,0.715,0.774,0.062,0.142,0.0,0.0524,0.789,182327,115.0, Armenia
179.74553,11,-5.81,1,127.132,0.06,0.07955,176.46005,0.561,0.476,4,0.71,2019,16,0.615,0.718,0.0545,0.0524,5.24e-06,0.0792,0.325,179746,43.0, Portugal
181.32463,5,-5.927,1,143.813,0.12,3.52943,181.32463,0.021,0.145,4,0.819,2019,23,0.533,0.55,0.0294,0.0419,0.0,0.377,0.159,181325,129.0, Italy
185.35637,8,-4.679,0,98.219,0.11,0.0,177.1102,0.464,0.394,4,0.893,2019,19,0.427,0.504,0.0314,0.475,0.0,0.115,0.374,185356,36.0, Albania
178.09964,7,-4.558,1,90.025,0.14,0.44512,169.12254,0.485,0.341,4,1.0,2019,25,0.553,0.838,0.0477,0.0555,0.0,0.335,0.531,178100,109.0, Serbia
180.24998,5,-8.201,0,109.996,0.16,0.20789,180.24998,0.536,0.549,4,1.0,2019,20,0.662,0.475,0.034,0.025,3.99e-06,0.582,0.447,180250,182.0, Ukraine
159.35388,7,-5.995,1,131.958,0.06,0.0,155.71883,0.786,0.908,4,0.834,2018,13,0.742,0.635,0.0407,0.0273,0.0,0.0942,0.24,159354,42.0, Portugal
